ID,Comp1_CT,Comp1_SA,Comp1_T1,Comp1_T2,Comp2_CT,Comp2_SA,Comp2_T1,Comp2_T2,Comp3_CT,Comp3_SA,Comp3_T1,Comp3_T2,Comp4_CT,Comp4_SA,Comp4_T1,Comp4_T2
ADB0002,1536.4473949888466,1702.3003770452053,1486.420052858898,1503.0244206921577,1563.500073489208,1395.2448190775456,1428.9235710976052,1479.5113097122196,1353.7141353909287,1405.3359992603773,1491.8734660634238,1502.458564205462,1016.5968509844533,1019.4436285596274,998.9928376103968,901.873598557479
ADB0003,1482.1918732450208,1755.0618638176513,1417.9374997500372,1540.0406746478495,1567.999617124326,1450.912541646794,1424.0904454546098,1489.2505402227432,1320.7695274240377,1398.2011194220636,1486.7492129999582,1458.8598290841805,1018.9880443341606,1048.9218269088965,987.9879962994111,889.5012596643054
ADB0007,1573.1418644832406,1718.7496091920798,1565.6816190196148,1483.9932921573889,1630.4560299188972,1431.3816514683901,1540.538804044595,1501.7421430648237,1402.5306557424412,1418.4564185333231,1584.0944671977531,1485.0299957712712,1080.7225541022829,1061.302784140981,1116.4372673624628,929.0686440896319
ADB0008,1561.8497801715298,1659.2722143334943,1416.0075180044441,1509.6817206457033,1590.6987820397449,1389.2424452791322,1384.5847562047716,1504.615825559768,1384.6375605568487,1405.5165170971507,1432.743928018148,1466.2821837772924,1057.437689683061,1047.3727057598435,962.665686196095,929.2361050705958
ADB0012,1650.4579924237823,1809.245857517007,1426.7955926807163,1512.557798715598,1660.282617784777,1506.3878592946755,1394.6442863102907,1507.561990753431,1437.4833612205211,1497.7784015227212,1456.8148744409243,1465.668019958704,1096.8324763364017,1118.1892509512352,1000.2346918868551,895.440394188094
ADB0028,1459.0620042213163,1603.183675033877,1564.7764162337621,1549.855548906399,1503.4988878033537,1335.7446047482174,1504.2646250963485,1480.151506350015,1309.7368781305029,1300.4054192951623,1539.1003572287764,1436.9288356155273,1025.318308514753,983.0248938277807,1038.190953328414,935.2260941664264
ADB0038,1551.9998751090109,1616.1544141351646,1448.9987460341276,1492.1324624879371,1559.0746263963708,1379.1660299710134,1390.0887621446836,1519.3597822728916,1377.0682350686616,1342.7230411618038,1419.563078095414,1478.5793727031505,1032.5870887354904,969.2433459169607,970.2370017695932,918.8809505639882
ADB0039,1540.6730525792973,1679.472262822642,1439.2701276553182,1524.4125466270084,1574.0254560412436,1357.3293871121468,1400.5981292352837,1485.768729240839,1384.670848752907,1353.1689853539383,1438.6085627155624,1489.4424655929893,1060.6136442096324,1013.2196055067208,985.2521496365425,897.7349447432682
ADB0041,1472.8694032681428,1608.9540524529443,1506.731227731248,1490.662149122976,1477.9981539967337,1368.829620066309,1461.7718144071764,1513.4847302045657,1292.3766690992925,1348.2199231760044,1489.0871707277417,1473.0978075125888,1003.5561537983439,995.1455323447183,1017.9259155735139,934.4956948025504
ADB0051,1608.835076474129,1746.4516509177329,1386.1797163924557,1512.938172310674,1634.125488849484,1442.8937090304262,1356.424117057376,1508.5266642424358,1415.5521895384652,1438.5735819714055,1423.969094149419,1455.0868661040447,1097.11114843488,1054.6095519418325,969.2109120442525,936.9618951925481
