Brain_LV1,Behav_LV1,Brain_LV2,Behav_LV2,Brain_LV3,Behav_LV3
1.1554048,-0.32302436,-1.0741981,-0.015123107,1.0277835,0.15577795
0.30424044,1.008774,-2.9555807,-0.58045483,1.3370024,-0.16837883
3.5023584,1.5113093,3.363832,-1.0795265,5.1909971,-0.21760476
2.3602641,-0.31093889,-2.2708008,-0.52186757,-1.9501843,0.1450768
8.5800238,3.3198431,-4.4371338,-1.8869666,2.5936286,0.74122941
-2.9538767,-0.82655483,2.4023986,0.41197294,0.10257478,1.1189675
2.0831399,1.0011901,-0.68408448,-0.6836741,-3.268986,1.4249461
1.9918321,2.5859413,-1.2095827,-0.80360126,-2.4210289,0.54437554
-2.1206532,0.25086862,0.47889429,1.152414,-0.50897402,-0.90893573
5.6001744,2.0797246,-3.0572636,-1.4557188,-1.1425661,-3.7237587
-0.54228032,0.11810469,2.2189448,-0.43587592,5.7530723,0.52928579
-3.1983347,-1.7127801,1.5823164,-0.81752151,3.8623931,0.35483131
0.76992989,-0.62442839,-2.1121993,-1.0273144,-0.041950721,0.40873963
0.040043581,-1.0259598,-4.6028495,-1.7277251,-1.7261565,1.3307363
-0.63195115,-0.42546481,4.7162857,-1.3878049,4.7699037,0.80960232
0.46468231,-1.0801057,-8.2561007,-0.99810714,-1.0949529,1.0441383
3.8774488,1.6003646,-2.4364212,2.126308,1.1041248,-0.41687775
-6.4153595,-7.3719578,-7.1302629,-1.4181707,-4.7283244,1.2109566
-8.1793165,-4.5431395,3.3644934,-0.87881857,1.6062127,0.78603923
2.4193628,1.3361672,-0.50860238,-0.51071471,-1.2645596,-0.95468199
2.1796441,-1.4677503,5.3175044,2.9014993,-0.5662629,-0.65551776
1.8513031,0.56376046,-2.3341529,-0.8346163,-4.1521473,-0.1511845
-3.092994,2.1455295,-3.1508017,-0.34530753,-5.7479916,0.35429892
2.2305346,1.8448577,2.5594862,0.2934494,5.8091359,-0.38627434
1.8780676,2.335007,0.22732167,-0.36185968,-1.0335773,-1.0395664
-3.0886033,-0.37787503,-4.0792098,0.58389133,4.4831772,-0.098611362
-1.4179585,-0.71373421,1.2412604,-1.7335927,-0.25219858,0.10530243
-1.5642763,-0.36394754,1.8276308,-0.43490937,-2.8194759,-0.67491198
-5.9611316,-4.2014694,-4.7349691,-1.0709556,-1.9536906,0.73213643
4.8786926,3.0793245,-0.67280596,-0.4432475,1.309481,-1.1845859
0.56800759,0.057225682,-1.254467,1.1535448,0.68548506,-0.66829634
0.94875157,0.6519683,-1.3633149,-1.2635697,0.48644286,1.3982856
-6.7667522,-3.4378262,-2.7483633,-0.89467824,-3.7160666,-0.72879809
-6.9277077,-4.5179834,-0.32060799,-0.97821772,-3.2512524,-0.44449839
-2.2320511,-1.4786414,0.56367731,-0.2348486,-3.2092242,-1.1431621
-4.7651153,1.2662138,5.8432517,2.2235832,4.881144,1.9780136
3.2711618,-0.082207195,-2.6679835,-0.41400459,-3.1691241,-0.13210399
-11.724178,-5.407135,-2.2116919,-0.94272846,1.8203083,0.68538314
1.4069936,0.72308147,-0.19989932,-0.030721771,-1.2364963,-0.89970946
-11.05711,-4.8707485,1.6552095,-1.5817719,0.38303748,0.58879429
0.54780859,0.94788796,1.5543282,-0.98088604,-0.22220722,0.13468225
0.039093353,0.00857211,3.3579049,0.73311532,-4.30481,-0.15790422
2.0194159,-3.0290227,-1.5247334,3.2269442,-8.124608,-1.5676982
