Demographics,corr_LV1,corr_LV2,corr_LV3,ulcorr_LV1,ulcorr_LV2,ulcorr_LV3,llcorr_LV1,llcorr_LV2,llcorr_LV3
alcohol,0.034307949,-0.094746366,0.069044039,0.15130177885294,0.026314719580114,0.218828141689301,-0.071070473641157,-0.254143744707108,-0.056804146617651
current_smoking,0.0059790015,0.061500166,0.0042015137,0.130538612604141,0.143969565629959,0.104103114455938,-0.144940778613091,-0.032555537298322,-0.07050321251154
past_smoking,-0.17607562,-0.052497063,0.030182322,-0.048972256481647,0.079202987253666,0.199675813317299,-0.292972892522812,-0.229881785809994,-0.128391601145268
hearing_problem,0.074784584,0.12394524,0.15422475,0.20787089318037,0.278963148593903,0.294722199440002,-0.064399540424347,-0.021905299276114,0.005812869407237
concussion,0.05261695,0.032720096,0.053282712,0.091714132577181,0.074739586561918,0.103982213884592,-1.80E-08,-3.08E-08,-1.85E-08
TIA,-0.077399388,-0.029759267,0.10688685,0.080973345786333,0.203628607094288,0.316074267029762,-0.259941846132278,-0.273317068815231,-0.053363954648376
brain_injury,-0.005258414,0.13242874,0.042608216,0.104760959744453,0.268627002835274,0.152655348181725,-0.141697145998478,-0.004086791072041,-0.067158747464418
high_BP,-0.35394806,0.054024167,-0.069076866,-0.231153756380081,0.290727749466896,0.160559982061386,-0.474134877324104,-0.173901811242104,-0.27910104393959
high_chol,-0.24022879,0.039165307,-0.065251738,-0.112314369529486,0.229946456849575,0.115876436233521,-0.373293086886406,-0.137039378285408,-0.230807736515999
diabetes,-0.029114338,0.3212907,0.065064684,0.090095616877079,0.46330688893795,0.249543100595474,-0.164175443351269,0.200693339109421,-0.153268426656723
heart_disease,0.017142383,0.0028604402,0.15287758,0.150629162788391,0.166001662611961,0.28188294172287,-0.127732038497925,-0.127948194742203,0.054667154327035
arthritis,0.12363486,0.16261956,-0.021391019,0.24895615875721,0.309707581996918,0.092501688748598,-0.00442317686975,0.046400297433138,-0.183677315711975
neck_back_prob,0.037573937,0.20910549,-0.099623732,0.166505582630634,0.355826795101166,0.020216490142047,-0.101630486547947,0.10619630664587,-0.265509411692619
headaches_migraines,-0.053290367,0.059936367,-0.10317601,0.080297634005547,0.214160472154617,0.01832767482847,-0.187586076557636,-0.038396794348955,-0.246148116886616
seizures,0.14212677,-0.12467074,-0.1034724,0.233471088111401,1.27E-08,2.90E-08,-5.36E-09,-0.228247158229351,-0.240724176168442
cancer,-0.072175868,-0.081601456,-0.10220412,0.075829602777958,0.029259344562888,0.011693896260113,-0.224545799195766,-0.219879284501076,-0.219403855502605
liver_disease,0.12166984,0.039080016,-0.097500585,0.232413463294506,0.214913293719292,0.021219478920102,0.003596157068387,-0.096480622887611,-0.239072695374489
kidney_disease,0.073080033,0.1671696,-0.047115076,0.178598903119564,0.313440561294556,0.04070807993412,-0.030303260311484,0.045597549527884,-0.158650033175945
thyroid_disease,-0.10375524,-0.041477863,-0.0034539518,0.024674170650542,0.085933644324541,0.130057848989964,-0.230675674974918,-0.186025016009808,-0.146519556641579
allergies,0.084470637,0.022909647,-0.093591489,0.215399794280529,0.187278442084789,0.029649275355041,-0.05323339253664,-0.12563418596983,-0.25022454559803
depression,-0.050745383,0.028773876,-0.11333847,0.085299752652645,0.181898832321167,-0.004700086312369,-0.190823055803776,-0.100979551672935,-0.249994650483131
anxiety,-0.17530546,0.06953644,-0.055694472,-0.027174361050129,0.22946198284626,0.078959573060274,-0.319688245654106,-0.101424895226955,-0.215875037014484
drugs,0.027646478,-0.080814309,0.023037393,0.113495375961065,0.004884660476819,0.09773726016283,-0.069431379437447,-0.158182665705681,-0.068567223846912
MOCA,0.56715286,0.11321805,0.086538725,0.667534023523331,0.439519867300987,0.307086795568466,0.462382271885872,-0.189911805093288,-0.211077466607094
RBANS_total,0.58433408,0.0085567413,-0.060953707,0.684185564517975,0.363334000110626,0.203609332442284,0.494960129261017,-0.290608212351799,-0.36162044107914
imm_mem,0.3658078,0.045207363,-0.085015513,0.509793430566788,0.305156067013741,0.090149279683828,0.230055153369904,-0.143006578087807,-0.294646963477135
attention,0.51464343,-0.13266119,-0.040623363,0.626493453979492,0.205473065376282,0.21444582939148,0.400868937373161,-0.392239943146706,-0.32590913772583
language,0.34451026,0.02733296,-0.014115957,0.474234476685524,0.292384445667267,0.154311656951904,0.226875275373459,-0.18220143020153,-0.214503608644009
visuospatial,0.47758076,-0.11323426,0.063233145,0.589889049530029,0.200323186814785,0.311352014541626,0.365710720419884,-0.36737859249115,-0.210947193205357
del_mem,0.46761119,0.055171687,-0.033454463,0.592098563909531,0.346768707036972,0.179839052259922,0.352001905441284,-0.165032476186752,-0.288960337638855
